externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB141280726,2026-07-28 12:51:00+00:00,False,Denver Nuggets,Charlotte Hornets,HOLLOW,HYPER,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,70.0,62.0,1518.9501087199108,1580.1436617989648,-61.19355307905403,0.4128348704254393
NB142280726,2026-07-28 12:55:00+00:00,False,Denver Nuggets,Charlotte Hornets,GALAXY,TD24,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,53.0,46.0,1540.5456300164556,1582.7330247708035,-42.187394754347906,0.43958409219976013
NB274280726,2026-07-28 12:59:00+00:00,False,Toronto Raptors,Miami Heat,DEFIANT,COMBO,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,55.0,60.0,1487.9521609460658,1467.2344231171603,20.717737828905456,0.52977993273329
NB144280726,2026-07-28 13:03:00+00:00,False,Phoenix Suns,Milwaukee Bucks,MARKSMAN,ALLFATHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,54.0,55.0,1618.9678274297612,1465.9574497356555,153.01037769410573,0.7069876702205907
NB145280726,2026-07-28 13:07:00+00:00,False,Boston Celtics,Los Angeles Lakers,UNBREAKABLE,HARLEM,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,58.0,63.0,1494.9956815640287,1502.2869402439226,-7.291258679893872,0.48950857541227444
NB146280726,2026-07-28 13:11:00+00:00,False,Boston Celtics,Oklahoma City Thunder,PUNISHER,ABYSS,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,45.0,51.0,1352.7306763577858,1306.446733412697,46.28394294508871,0.5662167064359621
NB147280726,2026-07-28 13:23:00+00:00,False,Charlotte Hornets,Orlando Magic,HYPER,DIMES,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,74.0,77.0,1568.7098975079105,1544.3071252666127,24.402772241297725,0.5350607771200393
NB148280726,2026-07-28 13:27:00+00:00,False,Charlotte Hornets,Orlando Magic,TD24,SAINT JR,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,50.0,42.0,1572.40513245486,1510.0383545758505,62.36677787900953,0.5888012539911077
NB149280726,2026-07-28 13:31:00+00:00,False,Los Angeles Lakers,Oklahoma City Thunder,DEFIANT,SMOG,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,51.0,50.0,1479.539570567685,1586.0598873587614,-106.52031679107654,0.35133408534867844
NB150280726,2026-07-28 13:35:00+00:00,False,Denver Nuggets,Dallas Mavericks,ALLFATHER,ARCHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,55.0,57.0,1474.4413017783027,1568.5063390984844,-94.06503732018177,0.36784292618258324
