externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore
NB045200826,2026-08-20 04:03:00+00:00,False,Charlotte Hornets,Dallas Mavericks,BULLSEYE,TAAPZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,56.0,58.0
NB046200826,2026-08-20 04:07:00+00:00,False,Denver Nuggets,Charlotte Hornets,KARMA,OCEAN,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,58.0,51.0
NB047200826,2026-08-20 04:11:00+00:00,False,Miami Heat,Chicago Bulls,OREZ,HORROR,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,66.0,53.0
NB048200826,2026-08-20 04:15:00+00:00,False,Memphis Grizzlies,Phoenix Suns,MYTH,CYPHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,55.0,60.0
NB049200826,2026-08-20 04:19:00+00:00,False,Oklahoma City Thunder,New York Knicks,GENERAL,KOBRA,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,54.0,52.0
NB050200826,2026-08-20 04:23:00+00:00,False,Boston Celtics,New York Knicks,SIGNAL,STING,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,43.0,40.0
NB051200826,2026-08-20 04:35:00+00:00,False,Charlotte Hornets,Denver Nuggets,BULLSEYE,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,53.0,51.0
NB052200826,2026-08-20 04:39:00+00:00,False,Dallas Mavericks,Orlando Magic,HUNCHO,CALAMITY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,57.0,65.0
NB053200826,2026-08-20 04:43:00+00:00,False,Los Angeles Lakers,Boston Celtics,MARINE,UNDERRATED,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,65.0,53.0
NB054200826,2026-08-20 04:47:00+00:00,False,Orlando Magic,Denver Nuggets,NIGHTHAWK,SILVER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,54.0,56.0
NB055200826,2026-08-20 04:51:00+00:00,False,Charlotte Hornets,Orlando Magic,PATIENCE,FURY,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,65.0,62.0
NB057200826,2026-08-20 05:07:00+00:00,False,Dallas Mavericks,Denver Nuggets,TAAPZ,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,54.0,40.0
NB058200826,2026-08-20 05:11:00+00:00,False,Charlotte Hornets,Orlando Magic,OCEAN,CALAMITY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,57.0,62.0
NB060200826,2026-08-20 05:19:00+00:00,False,Dallas Mavericks,Denver Nuggets,CYPHER,SILVER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,43.0,44.0
NB061200826,2026-08-20 05:23:00+00:00,False,Denver Nuggets,Orlando Magic,KOBRA,FURY,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,46.0,54.0
NB062200826,2026-08-20 05:27:00+00:00,False,Phoenix Suns,Memphis Grizzlies,STING,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,71.0,62.0
NB063200826,2026-08-20 05:55:00+00:00,False,Oklahoma City Thunder,Boston Celtics,TD24,HYPER,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,52.0,51.0
NB064200826,2026-08-20 05:59:00+00:00,False,Miami Heat,Toronto Raptors,GALAXY,RAMZ,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,52.0,45.0
NB065200826,2026-08-20 06:03:00+00:00,False,Chicago Bulls,Toronto Raptors,ALLFATHER,COMBO,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,49.0,54.0
NB066200826,2026-08-20 06:07:00+00:00,False,Milwaukee Bucks,Phoenix Suns,REND,MIST,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,43.0,45.0
NB067200826,2026-08-20 06:11:00+00:00,False,Boston Celtics,Oklahoma City Thunder,RIDER,ATOMIC,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,63.0,57.0
NB068200826,2026-08-20 06:15:00+00:00,False,New York Knicks,Los Angeles Lakers,WARDEN,SLASH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,48.0,47.0
NB069200826,2026-08-20 06:27:00+00:00,False,Oklahoma City Thunder,Los Angeles Lakers,TD24,CHIEF,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,59.0,53.0
NB070200826,2026-08-20 06:31:00+00:00,False,Chicago Bulls,Brooklyn Nets,SAINT JR,SHELL,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,44.0,46.0
NB071200826,2026-08-20 06:35:00+00:00,False,Boston Celtics,Oklahoma City Thunder,CARNAGE,AXE,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,52.0,62.0
NB072200826,2026-08-20 06:39:00+00:00,False,Orlando Magic,Charlotte Hornets,MACHINE,BLAZER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,49.0,60.0
NB073200826,2026-08-20 06:43:00+00:00,False,Dallas Mavericks,Charlotte Hornets,CHARM,HARLEM,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,50.0,38.0
NB074200826,2026-08-20 06:47:00+00:00,False,Memphis Grizzlies,Phoenix Suns,ARCANE,TORCH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,57.0,54.0
NB075200826,2026-08-20 06:59:00+00:00,False,Los Angeles Lakers,Boston Celtics,CHIEF,HYPER,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,70.0,58.0
NB076200826,2026-08-20 07:03:00+00:00,False,Brooklyn Nets,Toronto Raptors,SHELL,RAMZ,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,36.0,52.0
NB077200826,2026-08-20 07:07:00+00:00,False,Miami Heat,Toronto Raptors,AXE,COMBO,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,43.0,61.0
NB078200826,2026-08-20 07:11:00+00:00,False,Memphis Grizzlies,Phoenix Suns,BLAZER,MIST,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,55.0,68.0
NB079200826,2026-08-20 07:15:00+00:00,False,New York Knicks,Oklahoma City Thunder,HARLEM,ATOMIC,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,50.0,63.0
