externalId,startDate,participantAName,participantBName,diff_avg_pts_for,diff_win_rate,diff_form5,diff_form3,diff_form2,diff_net_rating,diff_fatigue,diff_elo,elo_expected_prob_a,h2h_shrunk_full,h2h_shrunk_last5,h2h_n_meetings,avg_pts_for_prev_a,avg_pts_for_prev_b,volatility_prev_a,volatility_prev_b,hours_since_last_a,hours_since_last_b,matches_last_3h_a,matches_last_3h_b,market_prob_a,odds_a,odds_b,target_win_a,target_total
NB214260826,2026-08-26 19:47:00+00:00,CONQUEST,ULTIMATE,-4.210924617921393,0.1329584328009254,0.2,0.3333333333333333,0.5,2.5226909162503404,0,79.46995916168339,0.6124128353825926,0.5224825670765185,0.6055168157255967,16,49.713656387665196,53.92458100558659,8.064010416988674,8.085496176697612,1.0666666666666667,1.6,1,1,,,,1,121.0
NB215260826,2026-08-26 19:51:00+00:00,SIGNAL,AZURE,-2.7181886379303393,-0.04211102550585949,-0.19999999999999996,0.0,0.5,-0.755565467742592,0,-4.652988060537382,0.4933042122132422,0.5822173687022071,0.5525796498725521,20,48.18956043956044,50.90774907749078,6.5104113121704765,7.602312934339102,1.0666666666666667,1.6,1,1,,,,1,74.0
NB216260826,2026-08-26 20:03:00+00:00,LANES,JACKAL,1.245605833956624,0.10204749439042637,0.4,0.3333333333333333,0.0,1.3172058090251895,-1,32.9025407546892,0.5472095169706462,0.7802850989639544,0.4654264519869539,27,58.517857142857146,57.27225130890052,7.8758828658661715,8.160186701920225,0.5333333333333333,1.0666666666666667,2,3,,,,1,126.0
NB217260826,2026-08-26 20:07:00+00:00,PRODIGY,KARMA,3.547524350649347,0.07211850649350654,0.39999999999999997,0.3333333333333333,0.0,1.838717532467527,0,95.95869950585688,0.6346882135361703,0.6599343607444569,0.6154169837938535,15,56.696875,53.14935064935065,9.022020583412752,7.787304850897644,0.5333333333333333,1.0666666666666667,2,2,,,,1,111.0
NB218260826,2026-08-26 20:11:00+00:00,OREZ,SPOOKY,2.4744959198652907,-0.06067959069124823,0.19999999999999996,0.0,0.0,-2.114969129139503,0,33.715073013542906,0.5483681624258179,0.7419246642433245,0.7419246642433245,3,57.693363844393595,55.218867924528304,7.9915251491224595,7.906965106689108,0.5333333333333333,1.0666666666666667,2,2,,,,0,112.0
NB219260826,2026-08-26 20:15:00+00:00,SILVER,LAW,-1.2231578947368433,0.02292520775623269,-0.39999999999999997,0.0,0.0,0.11490304709140986,0,-5.947797867646841,0.4914412668803851,0.46438433783476935,0.55175167416906,11,52.04,53.26315789473684,6.665140387534395,7.9975690751072,0.5333333333333333,1.0666666666666667,2,2,,,,1,106.0
NB220260826,2026-08-26 20:19:00+00:00,CONQUEST,PATIENCE,-4.763048245614037,0.06332236842105265,0.0,0.0,0.5,0.09435307017543693,0,70.03019474585199,0.5994385324770131,0.41521185614677325,0.48863934776756135,9,49.780701754385966,54.54375,8.109665492191347,8.245334483958251,0.5333333333333333,1.0666666666666667,2,2,,,,0,96.0
NB221260826,2026-08-26 20:23:00+00:00,SIGNAL,ZION,-1.4905685150334804,0.01024990152741917,0.19999999999999996,0.33333333333333337,0.5,-0.6308109764103449,0,52.73955621396704,0.5753206905368563,0.5376603452684281,0.5376603452684281,4,48.16438356164384,49.65495207667732,6.519231268791804,8.300589804553965,0.5333333333333333,1.0666666666666667,2,2,,,,0,108.0
NB222260826,2026-08-26 20:35:00+00:00,CURSE,LANES,-4.073676253229685,-0.11669731809412054,-0.4,0.0,-0.5,-2.0958242601347195,0,-43.24727665952901,0.4380816277812779,0.5438081627781278,0.5280362790139014,36,54.47528517110266,58.54896142433235,8.876504141673436,7.884856291625035,1.0666666666666667,0.5333333333333333,3,3,,,,1,116.0
NB262260826,2026-08-26 20:39:00+00:00,CALAMITY,PRODIGY,0.4657551064254193,-0.09899789757991495,0.0,0.3333333333333333,0.5,-2.445421481515588,-1,-113.89823349006132,0.3417172439633129,0.5577912650568834,0.5963187750948058,11,57.18226600985221,56.716510903426794,8.053120715326523,9.014779963380242,1.0666666666666667,0.5333333333333333,2,3,,,,1,121.0
